,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMARY,KM,TAHUN,NO,TYPE,INDIKATOR KINERJA 2026,POLARITAS,SATUAN,UNIT,TARGET BULANAN,,TARGET MINGGU-1 ,TARGET MINGGU-2,TARGET MINGGU-3,TARGET MINGGU-4,TARGET MINGGU-5,,REALISASI MINGGU-1,REALISASI MINGGU-2 ,REALISASI MINGGU-3 ,REALISASI MINGGU-4 ,REALISASI MINGGU-5,,PENCAPAIAN MINGGU-1,PENCAPAIAN MINGGU-2 ,PENCAPAIAN MINGGU-3,PENCAPAIAN MINGGU-4,PENCAPAIAN MINGGU-5,,CARRY OVER MINGGU-1,,,,,,,,,,CARRY OVER MINGGU-2,CARRY OVER MINGGU-3,CARRY OVER MINGGU-4,CARRY OVER MINGGU-5
LM-1 Melaksanakan Smart P2TLSUKABUMI2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,SUKABUMI,2.260.456,,113.023,565.114,452.091,565.114,565.114,,179320,551753,508.894,567.616,572.029,,"97,64%",110%,100%,101%,,,13.361,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLSUMEDANG2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,SUMEDANG,822.067,,41.103,205.517,164.413,205.517,205.517,,75570,190598,158.244,185.648,207.483,,"92,74%",96%,90%,101%,,,14.919,,,,,,,,,,,,,
LM-1 Melaksanakan Smart P2TLTASIKMALAYA2026,4DX,2026,WIG-2,4DX,LM-1 Melaksanakan Smart P2TL,3,kWh,TASIKMALAYA,2.537.143,,126.857,634.286,507.429,634.286,634.286,,80398,694483,567.458,753.703,714.609,,"109,49%",110%,110%,110%,,,-60.197,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialUID JABAR2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,UID JABAR,3.240,,162,810,648,810,810,,235,951,815,956,979,,"110,00%",110%,110%,106%,,,575,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialBANDUNG2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,BANDUNG,300,,15,75,60,75,75,,16,77,61,70,73,,"21,33%",110%,81%,110%,,,59,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialBEKASI2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,BEKASI,300,,15,75,60,75,75,,18,85,66,76,87,,"24,00%",110%,88%,110%,,,57,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialBOGOR2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,BOGOR,300,,15,75,60,75,75,,24,83,74,73,71,,"32,00%",110%,99%,110%,,,51,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialCIANJUR2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,CIANJUR,120,,6,30,24,30,30,,10,36,31,33,37,,"33,33%",110%,103%,110%,,,20,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialCIKARANG2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,CIKARANG,240,,12,60,48,60,60,,23,81,66,68,84,,"38,33%",110%,110%,110%,,,37,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialCIMAHI2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,CIMAHI,180,,9,45,36,45,45,,10,60,44,56,57,,"22,22%",110%,98%,110%,,,35,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialCIREBON2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,CIREBON,120,,6,30,24,30,30,,14,58,46,72,53,,"46,67%",110%,110%,110%,,,16,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialDEPOK2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,DEPOK,240,,12,60,48,60,60,,17,75,59,80,93,,"28,33%",110%,98%,110%,,,43,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialGARUT2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,GARUT,120,,6,30,24,30,30,,6,29,25,30,31,,"20,00%",110%,83%,110%,,,24,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialGUNUNG PUTRI2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,GUNUNG PUTRI,240,,12,60,48,60,60,,18,69,61,73,71,,"30,00%",110%,102%,110%,,,42,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialINDRAMAYU2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,INDRAMAYU,120,,6,30,24,30,30,,10,30,33,39,35,,"33,33%",110%,110%,110%,,,20,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialKARAWANG2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,KARAWANG,300,,15,75,60,75,75,,12,60,66,74,78,,"16,00%",100%,88%,110%,,,63,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialMAJALAYA2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,MAJALAYA,180,,9,45,36,45,45,,13,58,43,53,54,,"28,89%",110%,96%,110%,,,32,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialPURWAKARTA2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,PURWAKARTA,120,,6,30,24,30,30,,6,35,30,35,41,,"20,00%",110%,100%,110%,,,24,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialSUKABUMI2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,SUKABUMI,120,,6,30,24,30,30,,15,31,29,32,31,,"50,00%",110%,97%,110%,,,15,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialSUMEDANG2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,SUMEDANG,120,,6,30,24,30,30,,11,45,40,37,28,,"36,67%",110%,110%,110%,,,19,,,,,,,,,,,,,
LM-2 Melaksanakan Pemeriksaan Pelanggan PotensialTASIKMALAYA2026,4DX,2026,WIG-2,4DX,LM-2 Melaksanakan Pemeriksaan Pelanggan Potensial,3,pelanggan,TASIKMALAYA,120,,6,30,24,30,30,,12,39,41,55,55,,"40,00%",110%,110%,110%,,,18,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterUID JABAR2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,UID JABAR,18.519,,4.274,4.274,2.856,4.274,,,9.863,7.947,8.211,9.829,,,"110,00%",110%,110%,100%,,,-5.589,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterBANDUNG2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,BANDUNG,1.653,,381,381,254,381,,,334,169,611,1.598,,,"87,66%",44%,110%,100%,,,47,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterBEKASI2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,BEKASI,656,,152,152,102,152,,,660,717,501,759,,,"110,00%",110%,110%,100%,,,-508,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterBOGOR2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,BOGOR,1.859,,428,428,286,428,,,920,664,616,841,,,"110,00%",110%,100%,100%,,,-492,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterCIANJUR2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,CIANJUR,886,,205,205,137,205,,,332,244,296,240,,,"110,00%",110%,110%,100%,,,-127,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterCIKARANG2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,CIKARANG,244,,57,57,38,57,,,853,561,645,840,,,"110,00%",110%,100%,100%,,,-796,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterCIMAHI2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,CIMAHI,1.010,,233,233,156,233,,,445,214,272,300,,,"110,00%",92%,110%,100%,,,-212,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterCIREBON2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,CIREBON,1.671,,385,385,257,385,,,1.064,720,937,652,,,"110,00%",110%,110%,100%,,,-679,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterDEPOK2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,DEPOK,992,,229,229,153,229,,,642,556,715,788,,,"110,00%",110%,110%,100%,,,-413,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterGARUT2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,GARUT,419,,97,97,65,97,,,200,420,433,249,,,"110,00%",110%,110%,100%,,,-103,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterGUNUNG PUTRI2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,GUNUNG PUTRI,505,,117,117,78,117,,,410,484,505,329,,,"110,00%",110%,0%,100%,,,-293,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterINDRAMAYU2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,INDRAMAYU,920,,213,213,142,213,,,333,298,168,245,,,"110,00%",110%,110%,100%,,,-120,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterKARAWANG2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,KARAWANG,1.010,,233,233,156,233,,,562,268,328,327,,,"110,00%",110%,110%,100%,,,-329,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterMAJALAYA2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,MAJALAYA,938,,217,217,145,217,,,340,320,588,818,,,"110,00%",110%,110%,100%,,,-123,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterPURWAKARTA2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,PURWAKARTA,1.498,,345,345,231,345,,,906,858,622,477,,,"110,00%",110%,110%,100%,,,-561,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterSUKABUMI2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,SUKABUMI,1.192,,275,275,184,275,,,629,425,339,563,,,"110,00%",110%,110%,100%,,,-354,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterSUMEDANG2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,SUMEDANG,1.815,,418,418,279,418,,,777,407,226,281,,,"110,00%",97%,81%,100%,,,-359,,,,,,,,,,,,,
LM-3 Melaksanakan Penggantian KWH MeterTASIKMALAYA2026,4DX,2026,WIG-2,4DX,LM-3 Melaksanakan Penggantian KWH Meter,3,pelanggan,TASIKMALAYA,1.251,,289,289,193,289,,,456,622,409,522,,,"110,00%",110%,110%,100%,,,-167,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  UID JABAR2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,UID JABAR,,,86,86,86,86,86,,,,,,,,,,,,,,86,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  BANDUNG2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,BANDUNG,,,7,7,7,7,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  BEKASI2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,BEKASI,,,5,5,5,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  BOGOR2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,BOGOR,,,6,6,6,6,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  CIANJUR2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,CIANJUR,,,5,5,5,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  CIKARANG2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,CIKARANG,,,4,4,4,4,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  CIMAHI2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,CIMAHI,,,6,6,6,6,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  CIREBON2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,CIREBON,,,5,5,5,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  DEPOK2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,DEPOK,,,5,5,5,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  GARUT2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,GARUT,,,5,5,5,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  GUNUNG PUTRI2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,GUNUNG PUTRI,,,3,3,3,3,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  INDRAMAYU2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,INDRAMAYU,,,4,4,4,4,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  KARAWANG2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,KARAWANG,,,4,4,4,4,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  MAJALAYA2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,MAJALAYA,,,5,5,5,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  PURWAKARTA2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,PURWAKARTA,,,5,5,5,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  SUKABUMI2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,SUKABUMI,,,6,6,6,6,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  SUMEDANG2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,SUMEDANG,,,4,4,4,4,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,
LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  TASIKMALAYA2026,4DX,2026,WIG-2,4DX,LM-4 Melaksanakan Perbaikan PHBTR tua/rusak  ,3,Unit,TASIKMALAYA,,,7,7,7,7,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWUID JABAR2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,UID JABAR,51.157,,10.231,10.231,10.231,10.231,10.231,,,,,,,,,,,,,,4.402,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWBANDUNG2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,BANDUNG,496,,99,99,99,99,99,,,,,,,,,,,,,,99,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWBEKASI2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,BEKASI,846,,169,169,169,169,169,,,,,,,,,,,,,,169,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWBOGOR2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,BOGOR,3.208,,642,642,642,642,642,,3.059,2.765,1.776,,,,"110,00%",110%,110%,,,,-2.417,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWCIANJUR2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,CIANJUR,4.000,,800,800,800,800,800,,,,,,,,,,,,,,800,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWCIKARANG2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,CIKARANG,0,,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWCIMAHI2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,CIMAHI,800,,160,160,160,160,160,,,,,,,,,,,,,,160,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWCIREBON2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,CIREBON,1.172,,234,234,234,234,234,,,,,,,,,,,,,,234,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWDEPOK2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,DEPOK,0,,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWGARUT2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,GARUT,6.724,,1.345,1.345,1.345,1.345,1.345,,2.770,,,,,,"110,00%",,,,,,-1.425,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWGUNUNG PUTRI2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,GUNUNG PUTRI,2.165,,433,433,433,433,433,,,,,,,,,,,,,,433,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWINDRAMAYU2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,INDRAMAYU,1.111,,222,222,222,222,222,,,,,,,,,,,,,,222,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWKARAWANG2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,KARAWANG,1.771,,354,354,354,354,354,,,,,,,,,,,,,,354,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWMAJALAYA2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,MAJALAYA,5.670,,1.134,1.134,1.134,1.134,1.134,,,,,,,,,,,,,,1.134,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWPURWAKARTA2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,PURWAKARTA,5.311,,1.062,1.062,1.062,1.062,1.062,,,,,,,,,,,,,,1.062,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWSUKABUMI2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,SUKABUMI,3.948,,790,790,790,790,790,,,,,,,,,,,,,,790,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWSUMEDANG2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,SUMEDANG,4.809,,962,962,962,962,962,,,,,,,,,,,,,,962,,,,,,,,,,,,,
LM-1 Melaksanakan Kegiatan ROWTASIKMALAYA2026,4DX,2026,WIG-3,4DX,LM-1 Melaksanakan Kegiatan ROW,3,Pohon,TASIKMALAYA,9.127,,1.825,1.825,1.825,1.825,1.825,,,,,,,,,,,,,,1.825,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangUID JABAR2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,UID JABAR,11.279,,2.256,2.256,2.256,2.256,2.256,,,,,,,,,,,,,,1.883,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangBANDUNG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,BANDUNG,434,,87,87,87,87,87,,,,,,,,,,,,,,87,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangBEKASI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,BEKASI,631,,126,126,126,126,126,,,,,,,,,,,,,,126,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangBOGOR2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,BOGOR,586,,117,117,117,117,117,,255,204,68,,,,"110,00%",110%,"58,12%",,,,-138,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangCIANJUR2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,CIANJUR,540,,108,108,108,108,108,,,,,,,,,,,,,,108,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangCIKARANG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,CIKARANG,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangCIMAHI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,CIMAHI,1.213,,243,243,243,243,243,,,,,,,,,,,,,,243,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangCIREBON2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,CIREBON,567,,113,113,113,113,113,,,,,,,,,,,,,,113,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangDEPOK2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,DEPOK,187,,37,37,37,37,37,,,,,,,,,,,,,,37,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangGARUT2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,GARUT,1.056,,211,211,211,211,211,,96,,,,,,"45,50%",,,,,,115,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangGUNUNG PUTRI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,GUNUNG PUTRI,290,,58,58,58,58,58,,,,,,,,,,,,,,58,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangINDRAMAYU2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,INDRAMAYU,432,,86,86,86,86,86,,,,,,,,,,,,,,86,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangKARAWANG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,KARAWANG,373,,75,75,75,75,75,,,,,,,,,,,,,,75,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangMAJALAYA2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,MAJALAYA,602,,120,120,120,120,120,,,,,,,,,,,,,,120,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangPURWAKARTA2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,PURWAKARTA,924,,185,185,185,185,185,,,,,,,,,,,,,,185,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangSUKABUMI2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,SUKABUMI,2.094,,419,419,419,419,419,,,,,,,,,,,,,,419,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangSUMEDANG2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,SUMEDANG,364,,73,73,73,73,73,,,,,,,,,,,,,,73,,,,,,,,,,,,,
LM-2 Melaksanakan Pemasangan Proteksi BinatangTASIKMALAYA2026,4DX,2026,WIG-3,4DX,LM-2 Melaksanakan Pemasangan Proteksi Binatang,3,buah,TASIKMALAYA,882,,176,176,176,176,176,,,,,,,,,,,,,,176,,,,,,,,,,,,,
